Date,PnL
2017-02-07,92352.59
2017-02-08,92214.74
2017-02-09,92292.24
2017-02-10,92639.61
2017-02-12,92649.60
2017-02-13,92613.71
2017-02-14,92728.56
2017-02-15,92999.05
2017-02-16,92541.85
2017-02-17,92681.16
2017-02-19,92654.09
2017-02-20,92673.81
2017-02-21,93042.10
2017-02-22,92930.98
2017-02-23,92727.95
2017-02-24,92651.22
2017-02-26,92592.01
2017-02-27,92266.63
2017-02-28,92044.01
2017-03-01,92011.84
2017-03-02,91807.99
2017-03-03,91652.54
2017-03-05,91714.06
2017-03-06,91532.96
2017-03-07,91530.25
2017-03-08,91443.24
2017-03-09,91131.18
2017-03-10,90793.11
2017-03-12,90779.50
2017-03-13,91195.91
2017-03-14,91239.77
2017-03-15,91374.37
2017-03-16,91299.12
2017-03-17,91514.76
2017-03-19,91512.58
2017-03-20,91473.77
2017-03-21,91209.26
2017-03-22,91417.45
2017-03-23,91457.37
2017-03-24,91388.46
2017-03-26,91388.46
2017-03-27,90982.53
2017-03-28,90646.14
2017-03-29,91166.41
2017-03-30,91094.84
2017-03-31,91094.48
2017-04-02,91094.48
2017-04-03,91101.86
2017-04-04,91114.50
2017-04-05,91142.41
2017-04-06,91291.96
2017-04-07,91419.24
2017-04-09,91419.24
2017-04-10,91327.99
2017-04-11,90850.71
2017-04-12,90730.01
2017-04-13,90929.32
2017-04-14,90845.02
2017-04-16,90845.02
2017-04-17,90691.08
2017-04-18,90420.35
2017-04-19,90328.82
2017-04-20,89839.41
2017-04-21,90049.97
2017-04-23,90055.79
2017-04-24,89986.77
2017-04-25,89610.57
2017-04-26,90075.07
2017-04-27,90109.68
2017-04-28,89869.06
2017-04-30,89864.72
2017-05-01,89873.43
2017-05-02,89962.96
2017-05-03,89924.32
2017-05-04,89575.12
2017-05-05,89889.55
2017-05-07,89885.05
2017-05-08,89998.27
2017-05-09,90308.21
2017-05-10,90855.16
2017-05-11,91054.34
2017-05-12,90857.64
2017-05-14,90859.42
2017-05-15,90711.37
2017-05-16,90325.01
2017-05-17,90140.08
2017-05-18,89860.41
2017-05-19,89419.03
2017-05-21,89416.31
2017-05-22,89213.79
2017-05-23,89207.08
2017-05-24,89278.20
2017-05-25,89447.61
2017-05-26,89913.78
2017-05-28,89914.77
2017-05-29,89754.25
2017-05-30,89532.45
2017-05-31,89147.83
2017-06-01,89266.49
2017-06-02,89315.49
2017-06-04,89313.67
2017-06-05,89492.87
2017-06-06,89873.74
2017-06-07,90034.98
2017-06-08,90532.35
2017-06-09,90705.74
2017-06-11,90708.49
2017-06-12,90703.35
2017-06-13,90487.09
2017-06-14,90123.47
2017-06-15,90635.41
2017-06-16,90464.04
2017-06-18,90463.07
2017-06-19,90433.97
2017-06-20,90713.96
2017-06-21,90677.39
2017-06-22,90792.72
2017-06-23,90654.67
2017-06-25,90656.82
2017-06-26,90615.19
2017-06-27,90344.01
2017-06-28,90267.56
2017-06-29,90229.61
2017-06-30,90394.36
2017-07-02,90397.41
2017-07-03,90385.71
2017-07-04,90322.06
2017-07-05,90385.91
2017-07-06,89992.88
2017-07-07,90165.79
2017-07-09,90167.23
2017-07-10,90240.25
2017-07-11,90102.52
2017-07-12,90496.69
2017-07-13,90763.13
2017-07-14,90727.66
2017-07-16,90728.28
2017-07-17,90816.26
2017-07-18,90500.70
2017-07-19,90582.09
2017-07-20,90027.97
2017-07-21,90327.24
2017-07-23,90321.94
2017-07-24,90450.92
2017-07-25,90332.61
2017-07-26,90573.83
2017-07-27,90537.96
2017-07-28,90470.06
2017-07-30,90463.37
2017-07-31,90395.67
2017-08-01,90414.73
2017-08-02,90280.79
2017-08-03,90274.37
2017-08-04,90993.62
2017-08-06,90996.53
2017-08-07,90794.86
2017-08-08,91104.66
2017-08-09,91006.82
2017-08-10,91017.79
2017-08-11,91099.17
2017-08-13,91096.22
2017-08-14,91028.91
2017-08-15,91353.02
2017-08-16,91999.32
2017-08-17,92129.06
2017-08-18,92076.06
2017-08-20,92076.06
2017-08-21,91840.93
2017-08-22,92077.48
2017-08-23,91720.74
2017-08-24,91778.73
2017-08-25,91720.37
2017-08-27,91720.37
2017-08-28,91705.97
